quarter,age1,age2,age3,age4,age5,age6
1,17,90,59,33,20,13
2,27,114,78,40,20,26
3,26,116,79,42,30,22
4,34,109,73,43,31,13
5,20,105,94,42,29,29
6,32,154,102,48,48,30
7,39,147,107,59,50,29
8,39,146,115,71,35,28
9,45,143,96,59,39,40
10,53,215,124,62,49,40
11,59,206,133,81,42,46
12,56,187,135,58,50,42
13,47,166,114,62,36,29
14,51,212,111,78,39,33
15,45,185,113,61,37,27
16,52,164,109,51,37,29
17,45,178,98,56,34,24
18,41,157,114,49,41,30
19,33,134,108,52,37,22
20,23,164,105,52,31,29
21,34,154,123,57,43,23
22,36,205,130,62,36,37
23,46,264,162,92,52,39
24,52,299,163,84,72,48
25,66,320,167,78,52,41
26,78,383,246,116,63,62
27,87,479,308,129,88,81
28,112,454,264,135,103,68
29,101,447,279,135,103,70
30,111,538,283,147,97,68
31,106,458,283,126,90,92
32,111,397,278,118,94,71
33,106,425,253,103,69,62
34,108,503,264,127,73,67
35,123,532,281,121,81,72
36,115,491,298,114,93,69
37,108,422,271,132,68,59
38,110,488,336,119,95,74
39,107,466,281,128,79,70